Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
15,Daniil Medvedev[RUS],8,7,53.3%,8,5,3,62.5%,2020,2024,15,1.02,7.3%,1.3%,61.3%,72.9%,52.6%,65.1%,35.6%,60.4%,38.5%
11,Carlos Alcaraz[ESP],4,7,36.4%,10,4,6,40.0%,2019,2024,11,1.00,4.3%,4.1%,57.3%,68.3%,51.5%,61.1%,39.0%,68.5%,49.4%
10,Alex De Minaur[AUS],10,0,100.0%,2,1,1,50.0%,2019,2025,10,1.47,6.8%,2.2%,61.7%,77.3%,56.0%,69.1%,45.3%,76.2%,51.9%
9,Andrey Rublev[RUS],6,3,66.7%,3,3,0,100.0%,2020,2024,9,1.16,10.2%,3.7%,57.9%,75.3%,50.9%,65.1%,40.6%,63.3%,42.4%
9,Stefanos Tsitsipas[GRE],3,6,33.3%,2,0,2,0.0%,2019,2024,9,1.06,5.2%,2.2%,63.4%,72.6%,52.5%,65.2%,36.8%,56.4%,29.9%
8,Novak Djokovic[SRB],4,4,50.0%,5,2,3,40.0%,2021,2024,8,0.88,8.9%,2.9%,60.2%,70.9%,54.1%,64.2%,31.6%,64.8%,41.5%
7,Alexander Zverev[GER],3,4,42.9%,6,3,3,50.0%,2020,2025,7,1.00,5.4%,3.3%,57.9%,72.0%,52.1%,63.6%,36.5%,56.6%,37.3%
7,Emil Ruusuvuori[FIN],5,2,71.4%,1,1,0,100.0%,2020,2023,7,1.05,6.4%,2.7%,59.0%,74.0%,49.7%,64.1%,37.8%,64.3%,61.3%
6,Ben Shelton[USA],5,1,83.3%,6,5,1,83.3%,2023,2025,6,1.40,8.6%,0.6%,69.5%,77.4%,62.3%,72.8%,38.2%,85.7%,43.6%
6,Tallon Griekspoor[NED],6,0,100.0%,4,3,1,75.0%,2023,2024,6,1.58,16.6%,1.7%,64.6%,83.4%,64.8%,76.8%,36.7%,86.7%,53.6%
6,Gael Monfils[FRA],5,1,83.3%,2,1,1,50.0%,2019,2024,6,1.20,4.2%,2.6%,55.2%,76.6%,57.7%,68.1%,38.2%,65.5%,45.0%
6,Stan Wawrinka[SUI],4,2,66.7%,1,0,1,0.0%,2019,2023,6,1.11,6.3%,2.5%,58.7%,69.4%,55.0%,63.4%,40.7%,68.0%,36.4%
5,Holger Rune[DEN],3,2,60.0%,1,0,1,0.0%,2022,2025,5,1.25,8.6%,2.9%,58.9%,77.5%,59.5%,70.1%,37.5%,73.3%,33.3%
5,Taylor Fritz[USA],4,1,80.0%,0,0,0,-,2021,2024,5,1.15,8.6%,2.8%,58.6%,78.7%,48.3%,66.1%,38.8%,62.5%,39.0%
5,Frances Tiafoe[USA],4,1,80.0%,1,1,0,100.0%,2019,2024,5,1.27,14.3%,3.4%,63.0%,79.5%,56.6%,71.1%,36.8%,79.2%,40.0%
