Match,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt,W_or_L,Rival
2025 Indian Wells Masters R64,18,32,0.6,13.7%,24.4%,16,27,0.6,12.9%,21.8%,6.5%,3.2%,1.0,21.4%,20.6%,L,Arnaldi
2025 Doha F,46,23,2.0,26.3%,13.1%,36,23,1.6,23.8%,15.2%,9.9%,6.6%,1.6,26.9%,17.1%,W,Draper
2025 Doha QF,32,37,0.9,15.5%,17.9%,24,36,0.7,12.6%,18.8%,8.4%,3.7%,0.8,13.0%,17.4%,W,De Minaur
2025 Doha R16,37,11,3.4,36.6%,10.9%,26,11,2.4,31.7%,13.4%,14.6%,6.1%,1.5,23.8%,15.8%,W,Borges
2025 Doha R32,39,14,2.8,33.3%,12.0%,33,11,3.0,35.5%,11.8%,21.5%,3.2%,1.8,28.2%,15.4%,W,Bublik
2025 Rotterdam QF,29,40,0.7,13.9%,19.2%,24,34,0.7,13.4%,19.0%,11.7%,1.7%,1.3,18.8%,14.4%,L,Hurkacz
2025 Rotterdam R16,43,15,2.9,27.4%,9.6%,33,15,2.2,24.1%,10.9%,10.2%,4.4%,2.1,29.3%,14.0%,W,Marozsan
2025 Rotterdam R32,27,23,1.2,20.6%,17.6%,20,22,0.9,18.0%,19.8%,11.7%,2.7%,0.9,23.7%,25.2%,W,Zhang
2025 Montpellier SF,35,21,1.7,26.5%,15.9%,27,19,1.4,24.3%,17.1%,9.9%,2.7%,1.6,30.3%,18.9%,L,Kovacevic
2025 Montpellier QF,12,2,6.0,30.8%,5.1%,5,2,2.5,18.5%,7.4%,3.7%,0.0%,1.0,28.2%,28.2%,W,Basilashvili
2025 Montpellier R16,34,5,6.8,34.0%,5.0%,30,5,6.0,34.5%,5.7%,14.9%,4.6%,2.3,32.0%,14.0%,W,Eubanks
2025 Australian Open R128,51,31,1.6,22.7%,13.8%,37,26,1.4,19.4%,13.6%,8.4%,1.0%,2.6,35.1%,13.3%,L,Fonseca
2025 Hong Kong R16,54,22,2.5,28.7%,11.7%,44,19,2.3,26.2%,11.3%,13.1%,4.8%,1.7,28.2%,16.5%,L,Marozsan
2024 Tour Finals RR,20,17,1.2,20.2%,17.2%,16,17,0.9,18.8%,20.0%,8.2%,0.0%,2.5,35.4%,14.1%,L,Zverev
2024 Tour Finals RR,35,19,1.8,21.7%,11.8%,25,16,1.6,18.9%,12.1%,14.4%,3.8%,2.1,22.4%,10.6%,L,Ruud
2024 Tour Finals RR,15,18,0.8,10.8%,12.9%,8,17,0.5,6.8%,14.4%,5.1%,0.8%,1.6,23.0%,14.4%,L,Alcaraz
2024 Basel R32,30,19,1.6,29.1%,18.4%,26,19,1.4,28.6%,20.9%,15.4%,4.4%,1.1,18.4%,16.5%,W,Borges
2024 Stockholm QF,42,28,1.5,24.9%,16.6%,32,26,1.2,22.7%,18.4%,9.9%,1.4%,1.8,28.4%,15.4%,L,Wawrinka
2024 Stockholm R16,35,14,2.5,33.3%,13.3%,29,14,2.1,29.6%,14.3%,15.3%,6.1%,1.6,23.8%,15.2%,W,Muller
