Match,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt,W_or_L,Rival
2025 Miami Masters F,39,20,2.0,25.7%,13.2%,32,19,1.7,24.8%,14.7%,9.3%,5.4%,2.0,32.9%,16.4%,L,Mensik
2025 Miami Masters SF,9,4,2.3,10.2%,4.5%,4,3,1.3,5.3%,3.9%,5.3%,0.0%,0.6,15.9%,28.4%,W,Dimitrov
2025 Miami Masters QF,20,7,2.9,17.4%,6.1%,9,7,1.3,9.3%,7.2%,7.2%,2.1%,1.4,16.5%,12.2%,W,Korda
2025 Miami Masters R16,17,15,1.1,16.7%,14.7%,16,14,1.1,16.7%,14.6%,10.4%,6.3%,0.6,9.8%,16.7%,W,Musetti
2025 Miami Masters R64,30,14,2.1,26.8%,12.5%,21,13,1.6,21.2%,13.1%,8.1%,5.1%,1.2,23.2%,19.6%,W,Hijikata
2025 Indian Wells Masters R64,17,35,0.5,11.0%,22.6%,17,32,0.5,11.8%,22.2%,9.0%,2.1%,1.0,16.1%,15.5%,L,Van De Zandschulp
2025 Doha R32,27,14,1.9,21.1%,10.9%,18,13,1.4,17.3%,12.5%,8.7%,2.9%,3.2,37.5%,11.7%,L,Berrettini
2025 Australian Open SF,21,18,1.2,22.8%,19.6%,16,18,0.9,20.5%,23.1%,5.1%,2.6%,1.9,31.5%,16.3%,L,Zverev
2025 Australian Open QF,28,30,0.9,10.7%,11.5%,23,27,0.9,9.7%,11.3%,5.5%,4.2%,1.1,18.8%,17.6%,W,Alcaraz
2025 Australian Open R16,25,16,1.6,12.6%,8.1%,16,13,1.2,9.4%,7.6%,7.6%,1.8%,1.0,18.7%,18.2%,W,Lehecka
2025 Australian Open R32,26,19,1.4,15.7%,11.4%,17,15,1.1,11.8%,10.4%,7.6%,4.2%,0.8,14.5%,17.5%,W,Machac
2025 Australian Open R128,49,32,1.5,20.9%,13.6%,26,28,0.9,13.3%,14.3%,8.7%,4.6%,0.9,13.2%,14.5%,W,Basavareddy
