Match,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%,W_or_L,Rival
2025 Miami F,0.73,0.75,53.6,2.1,15.4%,69.2%,2.9%,71.4%,30.2%,31.4%,L,Mensik
2025 Miami SF,1.29,2.36,35.8,2.6,12.5%,79.2%,9.5%,66.7%,47.8%,50.0%,W,Dimitrov
2025 Miami QF,1.2,1.79,47.1,2.1,25.0%,75.0%,11.1%,85.2%,29.0%,32.0%,W,Korda
2025 Miami R16,0.97,1.71,41.2,2.8,4.2%,75.0%,0.0%,63.6%,41.4%,66.7%,W,Musetti
2025 Miami R64,1.09,2.87,43.0,2.0,26.9%,84.6%,8.7%,82.6%,43.8%,41.9%,W,Hijikata
2025 Indian Wells R64,0.94,0.71,44.3,2.2,0.0%,48.6%,0.0%,55.6%,18.6%,56.4%,L,Van De Zandschulp
2025 Doha R32,0.89,0.66,49.8,2.7,14.7%,73.5%,12.9%,61.3%,34.4%,12.9%,L,Berrettini
2025 Australian Open QF,1.15,1.23,44.8,3.5,2.9%,62.9%,4.5%,59.1%,39.1%,44.3%,W,Alcaraz
2025 Australian Open R16,1.16,1.68,30.4,2.1,10.0%,76.0%,9.5%,71.4%,32.1%,44.0%,W,Lehecka
2025 Australian Open R32,1.08,1.7,29.6,2.0,9.5%,69.0%,13.5%,73.0%,46.7%,45.2%,W,Machac
2025 Australian Open R128,1.03,1.52,33.5,3.2,17.5%,66.7%,26.5%,79.6%,39.4%,41.3%,W,Basavareddy
2025 Brisbane QF,0.82,0.53,58.0,2.3,12.8%,71.8%,8.8%,64.7%,24.2%,16.1%,L,Opelka
2025 Brisbane R16,1.25,2.03,37.5,2.2,7.1%,75.0%,12.5%,70.8%,50.0%,36.4%,W,Monfils
2025 Brisbane R32,1.09,2.28,37.3,2.0,16.0%,84.0%,36.4%,72.7%,48.3%,40.0%,W,Hijikata
2024 Shanghai F,0.66,0.64,42.1,2.8,6.7%,73.3%,7.1%,67.9%,27.8%,29.0%,L,Sinner
2024 Shanghai SF,1.06,1.42,59.5,2.2,18.9%,83.8%,0.0%,61.8%,38.6%,32.5%,W,Fritz
2024 Shanghai QF,0.89,1.31,63.8,4.1,8.9%,71.1%,5.4%,75.7%,30.4%,49.1%,W,Mensik
2024 Shanghai R16,1.14,2.08,39.5,2.4,3.7%,74.1%,16.7%,75.0%,52.2%,40.0%,W,Safiullin
2024 Shanghai R32,1.02,3.07,30.4,2.1,9.5%,81.0%,5.3%,84.2%,51.7%,53.8%,W,Cobolli
2024 US Open R32,0.81,0.78,35.0,2.6,9.0%,61.2%,15.9%,60.3%,38.5%,37.1%,L,Popyrin
2024 US Open R128,1.19,1.61,26.7,2.1,6.8%,61.4%,12.8%,69.2%,47.9%,46.7%,W,Albot
2024 Paris Olympics F,1.04,1.27,65.3,2.4,0.0%,68.8%,2.2%,73.3%,36.0%,35.4%,W,Alcaraz
2024 Paris Olympics SF,0.99,1.39,53.5,2.2,3.4%,58.6%,7.7%,69.2%,47.1%,54.8%,W,Musetti
2024 Paris Olympics QF,1.17,1.41,47.7,2.2,2.5%,65.0%,12.5%,60.0%,40.5%,50.0%,W,Tsitsipas
2024 Paris Olympics R16,1.09,1.78,44.2,2.2,10.0%,70.0%,7.7%,80.8%,41.9%,39.3%,W,Koepfer
2024 Paris Olympics R32,0.93,1.54,42.6,2.0,8.0%,72.0%,13.0%,65.2%,60.0%,42.9%,W,Nadal
2024 Paris Olympics R64,1.11,4.2,25.2,2.1,20.0%,80.0%,6.7%,86.7%,59.1%,66.7%,W,Ebden
2024 Wimbledon F,0.89,0.63,28.3,2.1,3.8%,50.9%,12.5%,66.7%,24.5%,34.8%,L,Alcaraz
2024 Wimbledon SF,1.11,1.4,33.6,2.0,5.6%,68.5%,6.1%,61.2%,41.4%,47.2%,W,Musetti
2024 Wimbledon R16,1.29,1.97,24.6,2.0,7.1%,73.8%,5.3%,73.7%,41.9%,37.8%,W,Rune
2024 Wimbledon R32,0.99,1.64,36.2,3.7,11.9%,81.4%,22.2%,77.8%,33.3%,34.4%,W,Popyrin
2024 Wimbledon R64,1.13,1.37,36.3,2.1,9.2%,64.6%,13.8%,81.0%,31.3%,36.2%,W,Fearnley
2024 Wimbledon R128,1.04,3.15,26.9,2.1,22.6%,83.9%,11.1%,81.5%,54.2%,50.0%,W,Kopriva
2024 Roland Garros R16,1.11,1.14,52.1,15.3,1.1%,55.8%,5.7%,70.5%,38.2%,38.6%,W,Cerundolo
2024 Roland Garros R32,1.04,1.2,43.7,5.3,4.1%,67.6%,3.1%,55.4%,50.6%,36.8%,W,Musetti
2024 Roland Garros R64,1.03,1.73,27.0,2.4,5.1%,66.7%,8.8%,67.6%,55.0%,55.3%,W,Carballes Baena
2024 Roland Garros R128,1.07,1.98,30.6,2.1,4.7%,83.7%,5.1%,76.9%,45.3%,26.5%,W,Herbert
2024 Geneva QF,1.01,1.72,51.8,3.4,3.7%,70.4%,11.5%,80.8%,41.4%,42.3%,W,Griekspoor
2024 Rome R32,0.73,0.41,31.1,2.0,11.1%,51.9%,20.0%,64.0%,34.8%,10.5%,L,Tabilo
2024 Rome R64,0.88,1.48,45.3,3.1,4.5%,68.2%,0.0%,65.0%,56.7%,55.2%,W,Moutet
2024 Monte Carlo SF,0.68,0.81,49.7,2.1,4.7%,67.4%,2.8%,58.3%,40.5%,47.2%,L,Ruud
2024 Monte Carlo QF,1.02,1.27,59.4,2.4,6.1%,60.6%,0.0%,64.5%,40.5%,52.9%,W,De Minaur
2024 Monte Carlo R16,1.08,1.4,49.1,3.4,2.9%,64.7%,6.1%,60.6%,40.6%,56.7%,W,Musetti
2024 Monte Carlo R32,1.1,3.47,29.3,2.0,0.0%,77.8%,6.3%,87.5%,67.7%,43.3%,W,Safiullin
2024 Indian Wells R32,0.82,0.81,58.5,2.2,6.0%,58.0%,2.2%,68.9%,36.2%,37.2%,L,Nardi
2024 Indian Wells R64,0.9,1.37,55.4,2.6,14.6%,78.0%,17.1%,62.9%,46.2%,41.7%,W,Vukic
2024 Australian Open SF,0.99,0.64,30.8,2.1,9.7%,66.1%,1.9%,53.7%,22.4%,28.8%,L,Sinner
2024 Australian Open QF,0.92,1.42,41.7,2.7,21.0%,79.0%,15.1%,66.0%,40.0%,43.2%,W,Fritz
2024 Australian Open R16,1.07,2.48,23.1,2.2,25.0%,88.9%,24.2%,60.6%,61.3%,51.9%,W,Mannarino
2024 Australian Open R64,1.03,1.28,44.3,3.4,6.3%,79.4%,12.5%,66.1%,35.0%,31.4%,W,Popyrin
2024 United Cup QF,0.89,0.37,45.4,2.3,8.6%,57.1%,6.1%,63.6%,11.5%,21.7%,L,De Minaur
2024 United Cup RR,1.37,2.88,27.8,2.2,20.8%,70.8%,9.1%,86.4%,31.0%,60.7%,W,Zhang
2024 United Cup RR,0.92,1.41,51.4,2.2,2.4%,66.7%,5.3%,71.1%,39.0%,58.8%,W,Lehecka
2023 Davis Cup RR,0.73,0.9,64.4,10.8,9.8%,73.2%,5.6%,63.9%,33.3%,43.1%,L,Sinner
2023 Tour Finals F,0.89,2.35,34.7,2.0,20.8%,87.5%,40.9%,77.3%,44.7%,47.2%,W,Sinner
2023 Tour Finals SF,1.13,1.78,43.1,2.3,3.3%,83.3%,8.0%,60.0%,37.9%,48.1%,W,Alcaraz
2023 Tour Finals RR,1.2,1.72,45.1,2.2,2.3%,76.7%,10.5%,71.1%,32.6%,41.9%,W,Hurkacz
